course_id,course_title,url,level,subject,,,
353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,All Levels,Business Finance,,,
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,Intermediate Level,Business Finance,,,
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,All Levels,Business Finance,,,
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,Beginner Level,Business Finance,,,
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,Beginner Level,Business Finance,,,
948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,All Levels,Business Finance,,,
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,All Levels,Business Finance,,,
1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,All Levels,Business Finance,,,
1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,All Levels,Business Finance,,,
434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,Intermediate Level,Business Finance,,,
308690,Forex Trading A-Zâ„¢ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,Beginner Level,Business Finance,,,
888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,All Levels,Business Finance,,,
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,All Levels,Business Finance,,,
965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,All Levels,Business Finance,,,
